protein_id,node_id
000412,0
001008,1
002125,2
002165,3
002596,4
002829,5
003084,6
003100,7
003302,8
004982,9
005178,10
005257,11
005260,12
005284,13
005286,14
005386,15
005587,16
005995,17
006015,18
006053,19
006526,20
006658,21
006724,22
007390,23
007414,24
007699,25
007735,26
008527,27
008938,28
009041,29
009530,30
010299,31
011292,32
011473,33
011619,34
011653,35
011898,36
012049,37
012443,38
013070,39
013125,40
013807,41
014930,42
016171,43
016913,44
016946,45
019103,46
020945,47
023064,48
023939,49
025008,50
026218,51
027335,52
035307,53
037243,54
037502,55
039007,56
040663,57
040738,58
044462,59
045083,60
046087,61
046794,62
053468,63
054650,64
054950,65
055077,66
055335,67
056217,68
056233,69
064724,70
070846,71
072869,72
074304,73
075503,74
078429,75
078445,76
081029,77
083182,78
085068,79
085219,80
086933,81
155926,82
156109,83
156626,84
157812,85
158771,86
160262,87
160373,88
160827,89
161863,90
163416,91
164024,92
164133,93
164139,94
164305,95
165524,96
166139,97
166345,98
167106,99
167586,100
167588,101
168216,102
169551,103
170150,104
170447,105
170564,106
171757,107
171887,108
173229,109
175091,110
176763,111
177694,112
178638,113
178640,114
179259,115
181383,116
181796,117
181839,118
182290,119
182527,120
184183,121
186436,122
187762,123
188312,124
188790,125
192314,126
192788,127
193322,128
193391,129
194130,130
194214,131
194530,132
196061,133
196371,134
198536,135
198767,136
198801,137
199280,138
199320,139
199389,140
199447,141
199764,142
199936,143
200135,144
200181,145
200453,146
200457,147
200557,148
200652,149
200691,150
201031,151
201586,152
201647,153
201979,154
202017,155
202556,156
202677,157
202816,158
202967,159
203001,160
203407,161
203556,162
203629,163
203630,164
203664,165
204549,166
204566,167
204679,168
204726,169
204961,170
205214,171
205402,172
205636,173
205948,174
206262,175
206423,176
206474,177
206513,178
206595,179
206765,180
207457,181
207549,182
209668,183
209728,184
209873,185
209875,186
209884,187
209929,188
210060,189
210444,190
210633,191
211122,192
211287,193
211936,194
211998,195
212015,196
212355,197
214869,198
215057,199
215071,200
215095,201
215375,202
215531,203
215565,204
215567,205
215570,206
215574,207
215582,208
215631,209
215637,210
215659,211
215727,212
215730,213
215743,214
215794,215
215832,216
215855,217
215885,218
215886,219
215941,220
215957,221
215980,222
216024,223
216027,224
216034,225
216036,226
216038,227
216039,228
216044,229
216075,230
216101,231
216106,232
216121,233
216124,234
216127,235
216129,236
216133,237
216139,238
216160,239
216181,240
216185,241
216190,242
216200,243
216211,244
216218,245
216223,246
216252,247
216259,248
216286,249
216297,250
216330,251
216336,252
216338,253
216341,254
216366,255
216367,256
216410,257
216442,258
216446,259
216452,260
216468,261
216479,262
216492,263
216540,264
216602,265
216629,266
216639,267
216714,268
216733,269
216780,270
216797,271
216862,272
217026,273
217043,274
217086,275
217109,276
217121,277
217131,278
217133,279
217159,280
217173,281
217182,282
217195,283
217244,284
217246,285
217289,286
217320,287
217381,288
217386,289
217402,290
217407,291
217420,292
217423,293
217426,294
217446,295
217455,296
217456,297
217515,298
217740,299
217909,300
217958,301
217961,302
218004,303
218068,304
218075,305
218104,306
218176,307
218230,308
218316,309
218388,310
218516,311
218758,312
218867,313
219066,314
219069,315
219139,316
219150,317
219169,318
219204,319
219207,320
219240,321
219244,322
219255,323
219271,324
219301,325
219313,326
219315,327
219334,328
219345,329
219368,330
219400,331
219406,332
219476,333
219478,334
219548,335
219599,336
219660,337
219746,338
219782,339
219789,340
219833,341
219837,342
219905,343
219919,344
220166,345
220325,346
220429,347
220478,348
220496,349
220507,350
220509,351
220514,352
220562,353
220592,354
220597,355
220616,356
220669,357
220751,358
220764,359
220772,360
220809,361
220812,362
220822,363
220853,364
220966,365
221114,366
221130,367
221132,368
221138,369
221166,370
221233,371
221307,372
221403,373
221418,374
221419,375
221452,376
221476,377
221480,378
221485,379
221494,380
221498,381
221538,382
221543,383
221566,384
221573,385
221700,386
221804,387
221847,388
221855,389
221891,390
221930,391
221957,392
221972,393
221980,394
221992,395
222002,396
222005,397
222032,398
222115,399
222120,400
222219,401
222247,402
222248,403
222250,404
222254,405
222256,406
222286,407
222329,408
222339,409
222345,410
222374,411
222382,412
222390,413
222399,414
222481,415
222511,416
222543,417
222553,418
222567,419
222574,420
222584,421
222644,422
222674,423
222693,424
222728,425
222747,426
222800,427
222803,428
222812,429
222968,430
222990,431
223029,432
223073,433
223095,434
223136,435
223208,436
223273,437
223321,438
223357,439
223364,440
223366,441
223369,442
223398,443
223500,444
223528,445
223641,446
223642,447
223836,448
223864,449
224073,450
224337,451
224652,452
224784,453
225235,454
225275,455
225298,456
225328,457
225371,458
225387,459
225519,460
225525,461
225576,462
225577,463
225609,464
225655,465
225665,466
225698,467
225724,468
225726,469
225728,470
225737,471
225792,472
225831,473
225929,474
225941,475
225964,476
225969,477
225972,478
225983,479
226105,480
226193,481
226207,482
226218,483
226225,484
226230,485
226279,486
226299,487
226355,488
226413,489
226444,490
226524,491
226574,492
226760,493
226796,494
226798,495
226951,496
227155,497
227163,498
227266,499
227322,500
227451,501
227471,502
227524,503
227525,504
227638,505
227667,506
227756,507
227880,508
227918,509
228136,510
228251,511
228347,512
228434,513
228437,514
228476,515
228495,516
228515,517
228534,518
228682,519
228705,520
228740,521
228799,522
228841,523
228850,524
228865,525
228872,526
228887,527
228918,528
228922,529
228928,530
228945,531
229195,532
229214,533
229238,534
229243,535
229264,536
229266,537
229270,538
229281,539
229307,540
229340,541
229379,542
229390,543
229633,544
229708,545
229729,546
229758,547
229769,548
229795,549
229812,550
229829,551
229922,552
230048,553
230056,554
230124,555
230301,556
230321,557
230340,558
230354,559
230381,560
230461,561
230588,562
230658,563
231009,564
231021,565
231061,566
231121,567
231134,568
231198,569
231228,570
231368,571
231420,572
231449,573
231461,574
231487,575
231509,576
231524,577
231572,578
231656,579
231751,580
231790,581
231887,582
231948,583
232003,584
232461,585
232501,586
232564,587
232603,588
232744,589
232766,590
232888,591
232974,592
232975,593
233027,594
233055,595
233078,596
233099,597
233121,598
233146,599
233156,600
233242,601
233379,602
233468,603
233535,604
233575,605
233596,606
233623,607
233630,608
233668,609
233710,610
233735,611
233893,612
233948,613
233969,614
233997,615
234038,616
234071,617
234111,618
234160,619
234195,620
234256,621
234310,622
234313,623
234396,624
234420,625
234454,626
234488,627
234701,628
234739,629
234831,630
234961,631
235090,632
235372,633
235628,634
235835,635
236040,636
236137,637
236192,638
236671,639
236709,640
236826,641
236850,642
236877,643
236925,644
236959,645
236979,646
237014,647
237172,648
237201,649
237264,650
237281,651
237283,652
237380,653
237455,654
237530,655
237536,656
237596,657
237642,658
237654,659
237822,660
238018,661
238112,662
238156,663
238379,664
238497,665
238508,666
238561,667
238651,668
238714,669
238831,670
238855,671
238892,672
238994,673
239032,674
239165,675
239374,676
239462,677
239690,678
239830,679
239882,680
239891,681
239906,682
239926,683
239940,684
240055,685
240079,686
