protein_id,group
9606.ENSP00000304364,Antibody
9606.ENSP00000305875,Antibody
9606.ENSP00000304903,Antibody
9606.ENSP00000385361,Antibody
9606.ENSP00000379174,Antibody
9606.ENSP00000438293,Antibody
9606.ENSP00000313752,Antibody
9606.ENSP00000301258,Antibody
9606.ENSP00000227155,Antibody
9606.ENSP00000466022,Antibody
9606.ENSP00000385592,Antibody
9606.ENSP00000400046,Antibody
9606.ENSP00000243314,Antibody
9606.ENSP00000255120,Antibody
9606.ENSP00000480322,Antibody
9606.ENSP00000362457,Antibody
9606.ENSP00000413861,Antibody
9606.ENSP00000419411,Antibody
9606.ENSP00000229829,Antibody
9606.ENSP00000371475,Antibody
9606.ENSP00000298296,Antibody
9606.ENSP00000259633,Antibody
9606.ENSP00000384886,Antibody
9606.ENSP00000431603,Antibody
9606.ENSP00000343023,Antibody
9606.ENSP00000343493,Antibody
9606.ENSP00000255499,Antibody
9606.ENSP00000330200,Antibody
9606.ENSP00000376911,Antibody
9606.ENSP00000006724,Antibody
9606.ENSP00000421861,Antibody
9606.ENSP00000349143,Antibody
9606.ENSP00000473093,Antibody
9606.ENSP00000389176,Antibody
9606.ENSP00000425493,Antibody
9606.ENSP00000257336,Antibody
9606.ENSP00000372910,Antibody
9606.ENSP00000337432,Antibody
9606.ENSP00000368266,Antibody
9606.ENSP00000473036,Antibody
9606.ENSP00000376272,Antibody
9606.ENSP00000415283,Antibody
9606.ENSP00000332404,Antibody
9606.ENSP00000226730,Antibody
9606.ENSP00000335006,Antibody
9606.ENSP00000478725,Antibody
9606.ENSP00000292430,Antibody
9606.ENSP00000355506,Antibody
9606.ENSP00000357065,Antibody
9606.ENSP00000343706,Antibody
9606.ENSP00000199764,Antibody
9606.ENSP00000335623,Antibody
9606.ENSP00000369962,Antibody
9606.ENSP00000364766,Antibody
9606.ENSP00000319623,Antibody
9606.ENSP00000325708,Antibody
9606.ENSP00000402219,Antibody
9606.ENSP00000419000,Antibody
9606.ENSP00000483637,Antibody
9606.ENSP00000285879,Antibody
9606.ENSP00000372155,Antibody
9606.ENSP00000326759,Antibody
9606.ENSP00000160262,Antibody
9606.ENSP00000228468,Transporter
9606.ENSP00000428137,Transporter
9606.ENSP00000493515,Transporter
9606.ENSP00000269228,Transporter
9606.ENSP00000316482,Transporter
9606.ENSP00000482613,Transporter
9606.ENSP00000297991,Transporter
9606.ENSP00000372924,Transporter
9606.ENSP00000265686,Transporter
9606.ENSP00000294413,Transporter
9606.ENSP00000278379,Transporter
9606.ENSP00000426167,Transporter
9606.ENSP00000322991,Transporter
9606.ENSP00000370635,Transporter
9606.ENSP00000328813,Transporter
9606.ENSP00000434241,Transporter
9606.ENSP00000470652,Transporter
9606.ENSP00000260126,Transporter
9606.ENSP00000358358,Transporter
9606.ENSP00000338988,Transporter
9606.ENSP00000421377,Transporter
9606.ENSP00000328511,Transporter
9606.ENSP00000332771,Transporter
9606.ENSP00000349456,Transporter
9606.ENSP00000391498,Transporter
9606.ENSP00000411096,Transporter
9606.ENSP00000325296,Transporter
9606.ENSP00000329926,Transporter
9606.ENSP00000448071,Transporter
9606.ENSP00000451206,Transporter
9606.ENSP00000293599,Transporter
9606.ENSP00000366942,Transporter
9606.ENSP00000275230,Transporter
9606.ENSP00000497931,Transporter
9606.ENSP00000205557,Transporter
9606.ENSP00000461382,Transporter
9606.ENSP00000264930,Transporter
9606.ENSP00000357901,Transporter
9606.ENSP00000386962,Transporter
9606.ENSP00000219833,Transporter
9606.ENSP00000253270,Transporter
9606.ENSP00000325561,Transporter
9606.ENSP00000399585,Transporter
9606.ENSP00000318355,Transporter
9606.ENSP00000266376,Transporter
9606.ENSP00000380666,Transporter
9606.ENSP00000498282,Transporter
9606.ENSP00000358794,Transporter
9606.ENSP00000389277,Transporter
9606.ENSP00000318770,Transporter
9606.ENSP00000357389,Transporter
9606.ENSP00000409382,Transporter
9606.ENSP00000480703,Transporter
9606.ENSP00000347454,Transporter
9606.ENSP00000323568,Transporter
9606.ENSP00000363852,Transporter
9606.ENSP00000400839,Transporter
9606.ENSP00000464231,Transporter
9606.ENSP00000344820,Transporter
9606.ENSP00000339260,Transporter
9606.ENSP00000440329,Transporter
9606.ENSP00000473469,Transporter
9606.ENSP00000329200,Transporter
9606.ENSP00000231706,Transporter
9606.ENSP00000369810,Transporter
9606.ENSP00000420919,Transporter
9606.ENSP00000326671,Transporter
9606.ENSP00000261889,Transporter
9606.ENSP00000305449,Transporter
9606.ENSP00000308895,Transporter
9606.ENSP00000223641,Transporter
9606.ENSP00000313050,Transporter
9606.ENSP00000428845,Transporter
9606.ENSP00000466664,Transporter
9606.ENSP00000496339,Transporter
9606.ENSP00000358786,Transporter
9606.ENSP00000361173,Transporter
9606.ENSP00000264047,Transporter
9606.ENSP00000275227,Transporter
9606.ENSP00000280772,Transporter
9606.ENSP00000334216,Transporter
9606.ENSP00000368981,Transporter
9606.ENSP00000445595,Transporter
9606.ENSP00000264773,Transporter
9606.ENSP00000476815,Transporter
9606.ENSP00000385312,Transporter
9606.ENSP00000443216,Transporter
9606.ENSP00000344831,Transporter
9606.ENSP00000309504,Transporter
9606.ENSP00000390637,Transporter
9606.ENSP00000399136,Transporter
9606.ENSP00000393557,Transporter
9606.ENSP00000253122,Transporter
9606.ENSP00000297524,Transporter
9606.ENSP00000348211,Transporter
9606.ENSP00000370192,Transporter
9606.ENSP00000386766,Transporter
9606.ENSP00000409594,Transporter
9606.ENSP00000356105,Transporter
9606.ENSP00000256958,Transporter
9606.ENSP00000320236,Transporter
9606.ENSP00000432504,Transporter
9606.ENSP00000357588,Transporter
9606.ENSP00000262461,Transporter
9606.ENSP00000296358,Transporter
9606.ENSP00000369383,Transporter
9606.ENSP00000479953,Transporter
9606.ENSP00000365441,Transporter
9606.ENSP00000364295,Transporter
9606.ENSP00000383199,Transporter
9606.ENSP00000261024,Transporter
9606.ENSP00000266579,Transporter
9606.ENSP00000455041,Transporter
9606.ENSP00000500333,Transporter
9606.ENSP00000272433,Transporter
