0,1,2,3,4,5,6,7,8,9
0.057246957243483526,0.07668857266094777,-0.027322851325269477,0.006027832039356827,-0.0695409162896174,0.029648435858165838,-0.017460036069280996,-0.03960656662552931,0.007681799849881213,-0.00516692641844756
0.003176725768496704,0.010751601519695503,-0.025701751840134953,-0.0015362619918607627,0.011598920862630915,-0.017323098454991772,-0.006726505696497758,-0.03700183388738483,-0.060605766131687056,0.050953798871890686
-0.3348621992809521,-0.12996559590991305,-0.020114896478017508,-0.010520112699900452,0.0014588920510539916,-0.010285159320472493,-0.01012593407554993,-0.009758219919799336,-0.03220422507670291,0.01983325458822305
-0.21097014236913575,-0.02380248987676124,-0.01860233132532829,-0.0016092740586749785,-0.032534007374949186,0.00936436826296098,-0.0028789108744500286,0.02022261779579641,0.01772823995276664,-0.0016874872999237678
-0.37290973330187144,-0.10038479051071965,-0.02055193630382496,-0.00716813757758981,-0.007735525906562914,-0.00597551397382492,-0.007607383702721609,0.014570458416320006,-0.005678654449395562,0.0017978980904094044
-0.16716382079563175,0.03976348398082869,-0.04067488132346522,-0.04799629363217479,0.08444009301931164,-0.05613938375227766,-0.008010758014097697,-0.005839547550759395,0.026048679714228133,-0.02938165894692141
-0.3982928399103826,-0.147995104509552,0.028197746793755245,-0.01956401945685125,0.018141997048939935,0.007925974763156034,-0.005151895472245275,0.008533223867079396,0.00029484794510138007,-0.01321961633793567
-0.17920746472735855,-0.08587085276316307,-0.021282006982304823,-0.016811880662033915,0.025132430678449585,-0.02383425006972165,-0.014846228038529093,0.0046791085208957315,-0.040564618178439496,0.08160811511323576
-0.31810872332332246,-0.11982095809048665,-0.020511714370260597,-0.012295305869538567,0.0016595044005795834,-0.005704261622909218,-0.008546644366982867,-0.018027207819264472,-0.008952505674370583,-0.02093242113661555
2.408979585888205,1.929903670780628,-0.17013931221063128,-0.004447793486002581,-1.1968317674326776,0.06621915364901408,0.12092274789686665,-0.3638674706685201,-0.31103416403810785,-0.8308562429383233
0.9381249050227397,0.3665246777519586,0.018256308070280516,0.015347044471410425,-0.43737226283578157,0.057229404171497425,0.005693528774404678,-0.24206618530664153,-0.08281309230855737,-0.5909302283420786
-0.23863084520520828,-0.0572405390459029,-0.027273906234777233,-0.02681415008289857,0.035796886361407806,-0.02415825152179992,-0.009370280740694039,0.02405529090344601,0.009145595303057322,-0.012690030447400358
-0.3174991340809459,-0.10460939008413997,-0.014040514687406294,-0.014908087957384937,0.04219894257492572,-0.0026473546126100766,0.02467368437597749,-0.00486846027065995,-0.0025073822893450256,0.010106775948015992
